core_utilization,cts_cluster_size,period_min_ns,fmax_mhz,wns_ns,design_area_um2,utilization_pct,total_power_w,status,runtime_s
70,20,1.35,741.58,0.00,33398,71,3.12e-02,OK,593
70,40,1.36,735.49,0.00,33289,71,3.10e-02,OK,595
70,60,1.36,736.81,0.00,33390,71,3.26e-02,OK,606
76,20,1.35,742.84,0.00,33354,77,3.11e-02,OK,603
76,40,1.35,742.40,0.00,33229,77,3.08e-02,OK,613
76,60,1.35,739.87,0.00,33215,77,3.17e-02,OK,617
82,20,1.35,738.88,0.00,33246,83,3.09e-02,OK,653
82,40,1.37,731.58,-0.01,33103,82,3.04e-02,OK,614
82,60,1.36,736.88,0.00,33096,82,3.12e-02,OK,638
